head,relation,tail
POST_110,hasHashtag,#asiacup
POST_110,hasHashtag,#cricketzeenews
POST_110,hasHashtag,#srilanka
POST_110,hasSentiment,sent_neutral
POST_110,isAboutEvent,None
POST_110,mentionsEntity,Asiacup
POST_110,mentionsEntity,Cricketzeenews
POST_110,mentionsEntity,Srilanka
POST_110,postedAtHour,1
POST_110,postedAtMonth,Oct
POST_110,postedAtYear,2025
POST_111,hasNumber,2
POST_111,hasNumber,2025
POST_111,hasNumber,5
POST_111,hasSentiment,sent_neutral
POST_111,isAboutEvent,None
POST_111,mentionsEntity,Idemitsu Asia Talent Cuppiped
POST_111,mentionsEntity,Indonesia
POST_111,mentionsEntity,Round
POST_111,mentionsEntity,idemitsu asia
POST_111,mentionsEntity,talent cuppiped
POST_111,mentionsUser,youtube
POST_111,postedAtHour,1
POST_111,postedAtMonth,Oct
POST_111,postedAtYear,2025
POST_112,hasKeyword,asia cup
POST_112,hasNumber,75
POST_112,hasSentiment,sent_positive
POST_112,isAboutEvent,2025
POST_112,isAboutEvent,Asia
POST_112,isAboutEvent,Cup
POST_112,mentionsEntity,Asia Cup
POST_112,mentionsEntity,Captain
POST_112,mentionsEntity,Hitman
POST_112,mentionsEntity,Lloyd
POST_112,mentionsEntity,Rohit
POST_112,mentionsEntity,Test
POST_112,mentionsEntity,Who
POST_112,mentionsEntity,asia cup
POST_112,mentionsEntity,captain or
POST_112,mentionsEntity,legends like
POST_112,mentionsEntity,misses his
POST_112,mentionsEntity,odi win
POST_112,mentionsEntity,rate puts
POST_112,mentionsEntity,rohit among
POST_112,mentionsEntity,test triple
POST_112,mentionsEntity,the hitman
POST_112,mentionsEntity,trademark pull
POST_112,mentionsEntity,wc captain
POST_112,mentionsEntity,who else
POST_112,postedAtHour,1
POST_112,postedAtMonth,Oct
POST_112,postedAtYear,2025
POST_113,hasHashtag,#bcci
POST_113,hasHashtag,#icc
POST_113,hasHashtag,#indiancricket
POST_113,hasHashtag,#indvspak
POST_113,hasHashtag,#mohsinnaqvi
POST_113,hasHashtag,#pakistan
POST_113,hasHashtag,#pakistanarmy
POST_113,hasHashtag,#pakistancricket
POST_113,hasHashtag,#pakvsind
POST_113,hasKeyword,asia cup
POST_113,hasKeyword,asia cup trophy
POST_113,hasSentiment,sent_negative
POST_113,isAboutEvent,2025
POST_113,isAboutEvent,Asia
POST_113,isAboutEvent,Cup
POST_113,mentionsEntity,Asia
POST_113,mentionsEntity,Pakistan
POST_113,mentionsEntity,Price
POST_113,mentionsEntity,This Thief
POST_113,mentionsEntity,We
POST_113,mentionsEntity,cup trophy
POST_113,mentionsEntity,find this
POST_113,mentionsEntity,price to
POST_113,mentionsEntity,s identity
POST_113,mentionsEntity,the person
POST_113,mentionsEntity,thief along
POST_113,mentionsEntity,we are
POST_113,mentionsEntity,who will
POST_113,mentionsEntity,will remain
POST_113,mentionsEntity,with our
POST_113,mentionsEntity,won asia
POST_113,postedAtHour,1
POST_113,postedAtMonth,Oct
POST_113,postedAtYear,2025
POST_114,hasNumber,2
POST_114,hasNumber,2025
POST_114,hasNumber,5
POST_114,hasSentiment,sent_neutral
POST_114,isAboutEvent,None
POST_114,mentionsEntity,Idemitsu Asia Talent Cuppiped
POST_114,mentionsEntity,Indonesia
POST_114,mentionsEntity,Round
POST_114,mentionsEntity,idemitsu asia
POST_114,mentionsEntity,talent cuppiped
POST_114,mentionsUser,youtube
POST_114,postedAtHour,1
POST_114,postedAtMonth,Oct
POST_114,postedAtYear,2025
POST_115,hasHashtag,#pakvsind
POST_115,hasKeyword,asia cup
POST_115,hasKeyword,asia cup final
POST_115,hasSentiment,sent_positive
POST_115,isAboutEvent,2025
POST_115,isAboutEvent,Asia
POST_115,isAboutEvent,Cup
POST_115,mentionsEntity,India
POST_115,mentionsEntity,Wahan Tilak Varma Asia
POST_115,mentionsEntity,Yahi
POST_115,mentionsEntity,cup final
POST_115,mentionsEntity,farq ha
POST_115,mentionsEntity,fifty celebrate
POST_115,mentionsEntity,gia hoa
POST_115,mentionsEntity,ha aur
POST_115,mentionsEntity,india a
POST_115,mentionsEntity,jitwa kr
POST_115,mentionsEntity,ki ja
POST_115,mentionsEntity,ki traf
POST_115,mentionsEntity,mentality ka
POST_115,mentionsEntity,rahi ha
POST_115,mentionsEntity,sy khelny
POST_115,mentionsEntity,tk wo
POST_115,mentionsEntity,varma asia
POST_115,mentionsEntity,wahan tilak
POST_115,mentionsEntity,yahan abhi
POST_115,mentionsEntity,yahi to
POST_115,postedAtHour,1
POST_115,postedAtMonth,Oct
POST_115,postedAtYear,2025
POST_116,hasKeyword,asia cup
POST_116,hasNumber,05102025
POST_116,hasSentiment,sent_neutral
POST_116,isAboutEvent,2025
POST_116,isAboutEvent,Asia
POST_116,isAboutEvent,Cup
POST_116,mentionsEntity,Analysiseurasiareview
POST_116,mentionsEntity,Death Of Cricket Diplomacy
POST_116,mentionsEntity,The Asia Cup
POST_116,mentionsEntity,cricket diplomacy
POST_116,mentionsEntity,death of
POST_116,mentionsEntity,the asia
POST_116,postedAtHour,1
POST_116,postedAtMonth,Oct
POST_116,postedAtYear,2025
POST_117,hasKeyword,asia cup
POST_117,hasSentiment,sent_positive
POST_117,isAboutEvent,2025
POST_117,isAboutEvent,Asia
POST_117,isAboutEvent,Cup
POST_117,mentionsEntity,Rohit
POST_117,mentionsEntity,about milestonethat
POST_117,mentionsEntity,cared about
POST_117,mentionsEntity,do the
POST_117,mentionsEntity,doing right
POST_117,mentionsEntity,failed agin
POST_117,mentionsEntity,friends to
POST_117,mentionsEntity,giving good
POST_117,mentionsEntity,have done
POST_117,mentionsEntity,in final
POST_117,mentionsEntity,jobvirat was
POST_117,mentionsEntity,of asia
POST_117,mentionsEntity,only care
POST_117,mentionsEntity,opening and
POST_117,mentionsEntity,rohit should
POST_117,mentionsEntity,shubhman gill
POST_117,mentionsEntity,stupid only
POST_117,mentionsEntity,that day
POST_117,mentionsEntity,this toopeople
POST_117,mentionsEntity,toobut those
POST_117,mentionsEntity,trust his
POST_117,mentionsEntity,youngsters failure
POST_117,postedAtHour,1
POST_117,postedAtMonth,Oct
POST_117,postedAtYear,2025
POST_118,hasKeyword,asia cup
POST_118,hasNumber,124
POST_118,hasNumber,132
POST_118,hasNumber,4
POST_118,hasNumber,7
POST_118,hasSentiment,sent_neutral
POST_118,isAboutEvent,2025
POST_118,isAboutEvent,Asia
POST_118,isAboutEvent,Cup
POST_118,mentionsEntity,Asia Cup
POST_118,mentionsEntity,Didn
POST_118,mentionsEntity,He
POST_118,mentionsEntity,His
POST_118,mentionsEntity,Oman
POST_118,mentionsEntity,Sanju
POST_118,mentionsEntity,a total
POST_118,mentionsEntity,against oman
POST_118,mentionsEntity,asia cup
POST_118,mentionsEntity,at a
POST_118,mentionsEntity,batted out
POST_118,mentionsEntity,games he
POST_118,mentionsEntity,he scored
POST_118,mentionsEntity,his highest
POST_118,mentionsEntity,in the
POST_118,mentionsEntity,just play
POST_118,mentionsEntity,runs in
POST_118,mentionsEntity,score came
POST_118,mentionsEntity,strike rate
POST_118,mentionsEntity,t sanju
POST_118,postedAtHour,1
POST_118,postedAtMonth,Oct
POST_118,postedAtYear,2025
POST_119,hasKeyword,asia cup
POST_119,hasKeyword,icc world cup
POST_119,hasKeyword,world cup
POST_119,hasSentiment,sent_positive
POST_119,isAboutEvent,Both
POST_119,isAboutEvent,Events
POST_119,mentionsEntity,Asia
POST_119,mentionsEntity,Who
POST_119,mentionsEntity,captain while
POST_119,mentionsEntity,chokla failed
POST_119,mentionsEntity,cup winning
POST_119,mentionsEntity,gone as
POST_119,mentionsEntity,he is
POST_119,mentionsEntity,icc world
POST_119,mentionsEntity,niqqa that
POST_119,mentionsEntity,s gonna
POST_119,mentionsEntity,single asia
POST_119,mentionsEntity,tell my
POST_119,mentionsEntity,to win
POST_119,postedAtHour,1
POST_119,postedAtMonth,Oct
POST_119,postedAtYear,2025
POST_12,hasKeyword,world cup
POST_12,hasNumber,2023
POST_12,hasNumber,2025/
POST_12,hasSentiment,sent_neutral
POST_12,isAboutEvent,2025
POST_12,isAboutEvent,Cricket
POST_12,isAboutEvent,Cup
POST_12,isAboutEvent,World
POST_12,mentionsEntity,Jos Buttler
POST_12,mentionsEntity,World Cup
POST_12,mentionsEntity,a big
POST_12,mentionsEntity,after the
POST_12,mentionsEntity,been lifted
POST_12,mentionsEntity,burden has
POST_12,mentionsEntity,i wasn
POST_12,mentionsEntity,jos buttler
POST_12,mentionsEntity,same leader
POST_12,mentionsEntity,t the
POST_12,mentionsEntity,world cup
POST_12,mentionsUser,minniepugliesi
POST_12,postedAtHour,10
POST_12,postedAtMonth,Sep
POST_12,postedAtYear,2025
POST_120,hasKeyword,asia cup
POST_120,hasSentiment,sent_neutral
POST_120,isAboutEvent,2025
POST_120,isAboutEvent,Asia
POST_120,isAboutEvent,Cup
POST_120,mentionsEntity,Asia Cup
POST_120,mentionsEntity,Didn
POST_120,mentionsEntity,Really
POST_120,mentionsEntity,play in
POST_120,mentionsEntity,t he
POST_120,mentionsEntity,the asia
POST_120,postedAtHour,1
POST_120,postedAtMonth,Oct
POST_120,postedAtYear,2025
POST_121,hasNumber,14
POST_121,hasNumber,2025
POST_121,hasSentiment,sent_neutral
POST_121,isAboutEvent,None
POST_121,mentionsEntity,Porsche Carrera Cup Asia
POST_121,mentionsEntity,Round
POST_121,mentionsEntity,Singaporepiped
POST_121,mentionsEntity,cup asia
POST_121,mentionsEntity,porsche carrera
POST_121,mentionsUser,youtube
POST_121,postedAtHour,12
POST_121,postedAtMonth,Oct
POST_121,postedAtYear,2025
POST_122,hasKeyword,asia cup
POST_122,hasSentiment,sent_neutral
POST_122,isAboutEvent,2025
POST_122,isAboutEvent,Asia
POST_122,isAboutEvent,Cup
POST_122,mentionsEntity,Asia Cup
POST_122,mentionsEntity,Do
POST_122,mentionsEntity,Gill
POST_122,mentionsEntity,His
POST_122,mentionsEntity,India
POST_122,mentionsEntity,and not
POST_122,mentionsEntity,as the
POST_122,mentionsEntity,asia cup
POST_122,mentionsEntity,be selected
POST_122,mentionsEntity,below average
POST_122,mentionsEntity,captain if
POST_122,mentionsEntity,dismally with
POST_122,mentionsEntity,do you
POST_122,mentionsEntity,future india
POST_122,mentionsEntity,hardly inspiring
POST_122,mentionsEntity,have a
POST_122,mentionsEntity,he continues
POST_122,mentionsEntity,he did
POST_122,mentionsEntity,his career
POST_122,mentionsEntity,i mean
POST_122,mentionsEntity,of a
POST_122,mentionsEntity,stats is
POST_122,mentionsEntity,the bat
POST_122,mentionsEntity,think gill
POST_122,mentionsEntity,to perform
POST_122,mentionsEntity,will still
POST_122,postedAtHour,12
POST_122,postedAtMonth,Oct
POST_122,postedAtYear,2025
POST_123,hasKeyword,asia cup
POST_123,hasKeyword,asia cup trophy
POST_123,hasSentiment,sent_neutral
POST_123,isAboutEvent,2025
POST_123,isAboutEvent,Asia
POST_123,isAboutEvent,Cup
POST_123,mentionsEntity,Asia Cup
POST_123,mentionsEntity,India
POST_123,mentionsEntity,Mohsin Naqvi
POST_123,mentionsEntity,Pakistan
POST_123,mentionsEntity,Reporthindustantimes
POST_123,mentionsEntity,asia cup
POST_123,mentionsEntity,away with
POST_123,mentionsEntity,denying india
POST_123,mentionsEntity,for running
POST_123,mentionsEntity,from pakistan
POST_123,mentionsEntity,gold medal
POST_123,mentionsEntity,mohsin naqvi
POST_123,mentionsEntity,to get
POST_123,mentionsEntity,trophy and
POST_123,postedAtHour,12
POST_123,postedAtMonth,Oct
POST_123,postedAtYear,2025
POST_124,hasKeyword,asia cup
POST_124,hasNumber,28
POST_124,hasSentiment,sent_neutral
POST_124,isAboutEvent,2025
POST_124,isAboutEvent,Asia
POST_124,isAboutEvent,Cup
POST_124,mentionsEntity,But
POST_124,mentionsEntity,Did
POST_124,mentionsEntity,He
POST_124,mentionsEntity,In
POST_124,mentionsEntity,Look
POST_124,mentionsEntity,a great
POST_124,mentionsEntity,a lot
POST_124,mentionsEntity,are celebrating
POST_124,mentionsEntity,asia cup
POST_124,mentionsEntity,big total
POST_124,mentionsEntity,but his
POST_124,mentionsEntity,check his
POST_124,mentionsEntity,did you
POST_124,mentionsEntity,from him
POST_124,mentionsEntity,he has
POST_124,mentionsEntity,he is
POST_124,mentionsEntity,he plays
POST_124,mentionsEntity,his consistency
POST_124,mentionsEntity,hitter if
POST_124,mentionsEntity,i am
POST_124,mentionsEntity,in final
POST_124,mentionsEntity,it away
POST_124,mentionsEntity,look whatever
POST_124,mentionsEntity,not taking
POST_124,mentionsEntity,of dot
POST_124,mentionsEntity,problem is
POST_124,mentionsEntity,s his
POST_124,mentionsEntity,score earlier
POST_124,mentionsEntity,so we
POST_124,mentionsEntity,t a
POST_124,mentionsEntity,there wasn
POST_124,mentionsUser,amitpan21965845
POST_124,postedAtHour,12
POST_124,postedAtMonth,Oct
POST_124,postedAtYear,2025
POST_125,hasKeyword,asia cup
POST_125,hasKeyword,world cup
POST_125,hasSentiment,sent_neutral
POST_125,isAboutEvent,Both
POST_125,isAboutEvent,Events
POST_125,mentionsEntity,Asia Cup
POST_125,mentionsEntity,Hong Kong Sixes Two
POST_125,mentionsEntity,India
POST_125,mentionsEntity,Indo
POST_125,mentionsEntity,It
POST_125,mentionsEntity,October
POST_125,mentionsEntity,Pak
POST_125,mentionsEntity,Pakistan
POST_125,mentionsEntity,Women
POST_125,mentionsEntity,World
POST_125,mentionsEntity,chance to
POST_125,mentionsEntity,fierce indo
POST_125,mentionsEntity,hong kong
POST_125,mentionsEntity,in next
POST_125,mentionsEntity,india vs
POST_125,mentionsEntity,pak clashes
POST_125,mentionsEntity,pakistan in
POST_125,mentionsEntity,s our
POST_125,mentionsEntity,s revenge
POST_125,mentionsEntity,s world
POST_125,mentionsEntity,sixes two
POST_125,mentionsEntity,take asia
POST_125,mentionsEntity,three days
POST_125,mentionsUser,reikiprincedub
POST_125,postedAtHour,12
POST_125,postedAtMonth,Oct
POST_125,postedAtYear,2025
POST_126,hasKeyword,asia cup
POST_126,hasSentiment,sent_neutral
POST_126,isAboutEvent,2025
POST_126,isAboutEvent,Asia
POST_126,isAboutEvent,Cup
POST_126,mentionsEntity,Asia
POST_126,mentionsEntity,Indian
POST_126,mentionsEntity,Never
POST_126,mentionsEntity,Now
POST_126,mentionsEntity,Pakistani
POST_126,mentionsEntity,We
POST_126,mentionsEntity,Why
POST_126,mentionsEntity,a pakistani
POST_126,mentionsEntity,indian matters
POST_126,mentionsEntity,interfere in
POST_126,mentionsEntity,match fixing
POST_126,mentionsEntity,never ever
POST_126,mentionsEntity,now just
POST_126,mentionsEntity,our internal
POST_126,mentionsEntity,recently we
POST_126,mentionsEntity,shut up
POST_126,mentionsEntity,t need
POST_126,mentionsEntity,to tell
POST_126,mentionsEntity,u do
POST_126,mentionsEntity,we don
POST_126,mentionsEntity,why did
POST_126,mentionsEntity,won asia
POST_126,postedAtHour,12
POST_126,postedAtMonth,Oct
POST_126,postedAtYear,2025
POST_127,hasKeyword,asia cup
POST_127,hasKeyword,asia cup 2025
POST_127,hasNumber,2025
POST_127,hasSentiment,sent_negative
POST_127,isAboutEvent,2025
POST_127,isAboutEvent,Asia
POST_127,isAboutEvent,Cup
